DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2010,1.7,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2011,3.6,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2012,2.6,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2013,2.1,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2014,1.5,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2015,0.8,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2016,1.0,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2017,2.2,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2018,2.1,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2019,1.5,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2020,1.4,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,AT,2021,2.8,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2010,2.3,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2011,3.4,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2012,2.6,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2013,1.2,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2014,0.5,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2015,0.6,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2016,1.8,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2017,2.2,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2018,2.3,
ESTAT:TEC00118(1.0),19/10/22 11:00:00,A,RCH_A_AVG,CP00,BE,2019,1.2,
